FAA-Stream,59253475,ASQ5100,06/21/2013 11:59:56 PM,-81.6666666666667,35.1833333333333,52.6089647599086,463,337,CRJ7,ASQ,ATL,HPN,JET,COMMERCIAL,FILED,GA,"-81.6666666666667,35.1833333333333,337.0"
FAA-Stream,48521799,N450Z,06/22/2013 12:02:09 AM,-98.2333333333333,38.7333333333333,62.8631470364988,508,450,GLF4,N,KCRQ,KPTK,JET,GENERALAVIATION,ACTIVE,GA,"-98.2333333333333,38.7333333333333,450.0"
FAA-Stream,44237973,AAL402,06/22/2013 12:02:23 AM,-101.2,39.6166666666667,62.5983344211384,454,370,B738,AAL,KSFO,KORD,JET,COMMERCIAL,ACTIVE,GA,"-101.2,39.6166666666667,370.0"
FAA-Stream,57118094,AFR681,06/22/2013 12:02:18 AM,-70.05,41.2,66.1111967991742,454,350,N/A,AFR,KATL,LFPG,JET,COMMERCIAL,ACTIVE,GA,"-70.05,41.2,350.0"
FAA-Stream,17834546,UAL550,06/22/2013 12:00:47 AM,-99.5833333333333,34.3833333333333,291.98806305147,450,320,A320,UAL,KTPA,KIAH,JET,COMMERCIAL,ACTIVE,GA,"-99.5833333333333,34.3833333333333,320.0"
FAA-Stream,49624493,N254BC,06/22/2013 12:02:25 AM,-84.7833333333333,39.2333333333333,302.839705124362,198,100,BE55,N,LYH,EYE,PISTON,GENERALAVIATION,ACTIVE,GA,"-84.7833333333333,39.2333333333333,100.0"
FAA-Stream,17779358,N369MN,06/22/2013 12:02:13 AM,-102.383333333333,32.0666666666667,300.539110394768,352,450,C25B,N,KAXH,KLGB,JET,GENERALAVIATION,ACTIVE,GA,"-102.383333333333,32.0666666666667,450.0"
FAA-Stream,34025284,N117SE,06/22/2013 12:02:16 AM,-83.05,30.9666666666667,153.909873621512,121,112,PA32,N,OPN,LEE,PISTON,GENERALAVIATION,ACTIVE,GA,"-83.05,30.9666666666667,112.0"
FAA-Stream,60502110,DAL1433,06/22/2013 12:02:13 AM,-115.15,36.0666666666667,270.0,154,34,A320,DAL,KLAS,KLAX,JET,COMMERCIAL,FILED,GA,"-115.15,36.0666666666667,34.0"
FAA-Stream,49278511,FFT863,06/22/2013 12:02:13 AM,-108.466666666667,35.8166666666667,230.56916546549,380,379,A319,FFT,KDEN,KPHX,JET,COMMERCIAL,ACTIVE,GA,"-108.466666666667,35.8166666666667,379.0"
FAA-Stream,20280827,N9501W,06/22/2013 12:02:26 AM,-121.216666666667,37.8833333333333,321.714130822023,76,3,N/A,N,N/A,N/A,N/A,N/A,N/A,N/A,"-121.216666666667,37.8833333333333,3.0"
FAA-Stream,40258283,SWA215,06/22/2013 12:02:20 AM,-99.55,30.55,283.071235504249,416,360,B738,SWA,KHOU,KSAN,JET,COMMERCIAL,ACTIVE,GA,"-99.55,30.55,360.0"
FAA-Stream,64176209,N645AT,06/22/2013 12:02:02 AM,-147.5,60.75,247.729537797738,170,100,C208,N,MRI,C05,TURBO,GENERALAVIATION,FILED,GA,"-147.5,60.75,100.0"
FAA-Stream,46092576,AWE244,06/22/2013 12:02:09 AM,-98.1,37.6833333333333,262.007143278406,418,340,A320,AWE,KDTW,KPHX,JET,COMMERCIAL,ACTIVE,GA,"-98.1,37.6833333333333,340.0"
FAA-Stream,54461485,N711KP,06/22/2013 12:02:07 AM,-123.166666666667,49.1666666666667,90.0,10,0,N/A,N,KPDX,CYVR,TURBO,GENERALAVIATION,ACTIVE,GA,"-123.166666666667,49.1666666666667,0.0"
FAA-Stream,2350398,CLX774,06/22/2013 12:02:22 AM,-88.0666666666667,39.4333333333333,246.64368052024,463,291,B744,CLX,KIND,KLAX,JET,COMMERCIAL,ACTIVE,GA,"-88.0666666666667,39.4333333333333,291.0"
FAA-Stream,18169826,FDY2408,06/22/2013 12:01:30 AM,-96.4666666666667,29.1833333333333,227.481978541816,167,59,N/A,FDY,N/A,N/A,N/A,N/A,N/A,N/A,"-96.4666666666667,29.1833333333333,59.0"
FAA-Stream,29641471,ASH2614,06/22/2013 12:01:36 AM,-81.1666666666667,34.9166666666667,50.8938016917701,269,70,CRJ9,ASH,KAUS,KCLT,JET,AIRTAXI,ACTIVE,GA,"-81.1666666666667,34.9166666666667,70.0"
FAA-Stream,29341267,SWA47,06/22/2013 12:01:52 AM,-95.35,29.7,81.8117662281359,188,17,B733,SWA,KDAL,KHOU,JET,COMMERCIAL,ACTIVE,GA,"-95.35,29.7,17.0"
